,LR,XGB,RFR,GBR,SVR
cat__tinggal_ortu_False,-1.012249576444388,0.0,0.0,0.0008067235738793201,0.029313661171727325
cat__fisik_mata_False,0.8252284749181755,0.0,0.0020130995640311217,0.0,
cat__fisik_mata_True,-0.8252284749181751,0.0,0.0013874624246599466,0.0,
cat__kota_asal_Lima Puluh Kota,1.0208553352345975,0.0,0.0,0.0,0.006061694456882438
cat__jarak_< 1 km,0.8193094834470797,0.0,0.0,0.0,
cat__tinggal_teman_False,-0.8082943608965366,0.0,0.0,0.0,
cat__tinggal_teman_True,0.8082943608965366,0.0,0.0,0.0,
cat__jabatan_fungsional_Asisten Ahli,-0.774198088921605,0.0,0.0015381356102765861,0.001902561156791931,
cat__kota_asal_Kupang,0.9303965340547031,0.0,0.0,0.0,0.00991512329411801
cat__status_pernikahan_Belum Menikah,0.8090970555854744,0.06505876,0.0028369929851579925,0.006774656850777452,0.002474285092582995
waktu_bekerja_seminggu,-0.8491666168950387,0.0,0.0005353344426761573,0.0066513467859982715,0.01805520832574866
cat__bidang_Teknik Informatika,-0.6811273523826723,0.017959934,0.0,0.0,
cat__jabatan_struktural_Setingkat Kaprodi dan Ketua KK,0.6688078269502709,0.0231596,0.0,0.0,
cat__bidang_Teknik Industri,0.662472175763013,0.0,0.0,0.0,
cat__kota_asal_Yogyakarta,0.8082943608965353,0.0,0.0,0.0,0.01828763316155978
cat__status_pernikahan_Sudah Menikah,-0.8090970555854744,0.0,0.0054495827321662735,0.00166316527349236,0.010005787358957529
cat__jarak_6 - 10 km,-0.6582809185388698,0.0,0.0,0.0,
cat__fisik_carpal_True,0.653279469951706,0.0,0.0,0.0,
cat__fisik_carpal_False,-0.653279469951706,0.0,0.0,0.0,
cat__sertifikasi_Belum Mendapat Sertifikasi,0.6290787245740574,0.0,0.002443061835269616,0.0019371185334165703,
usia,-0.7238878782667781,0.0,0.016969835783295216,0.02459612000129468,0.022954985423273688
cat__sertifikasi_Sudah Tersertifikasi,-0.6290787245740574,0.0,0.0013168022347904255,0.0,
cat__bidang_Teknik Pertambangan,0.6297845331570414,0.0,0.0,0.0,
cat__fisik_obesitas_True,0.5728510761070098,0.0,0.008016497153026863,0.0022329865482586496,
cat__fisik_obesitas_False,-0.5728510761070111,0.0,0.0016079284528294857,0.002411632559080035,
cat__bidang_Komunikasi,0.5702851129487028,0.0,0.0,0.0,
cat__tinggal_pasangan_True,0.6719713048585548,0.0,0.00531254184766892,0.006725629633408223,0.020615014501265037
cat__tinggal_pasangan_False,-0.6719713048585528,0.0,0.0040196430734714935,0.008048981720549853,0.003859589656616613
cat__kota_asal_kediri,0.6624721757630119,0.0,0.0,0.0,0.00819174965414352
cat__kota_asal_Bandung,0.6036670973727771,0.0,0.0,0.0,0.0239585286520824
cat__bidang_Teknik Lingkungan,-0.47681019586003454,0.0,0.0,0.0,
cat__jabatan_struktural_Non Jabatan Struktural,-0.4443081169372718,0.0,0.0,0.00801368035287784,
cat__kota_asal_Medan,-0.5451859575641036,0.0,0.0,0.0,0.008524607607409373
cat__tinggal_anak_True,0.42914365313956826,0.0,0.001070724789077215,0.0018156579184516826,0.11517780617384857
cat__bidang_Arsitektur,-0.4307287631507922,0.0,0.0,0.0,
cat__kota_asal_Bandar Lampung,-0.5080887631573172,0.0,0.0013064046438438465,0.0,0.0002673497180939566
cat__tinggal_saudara_True,0.40006847586199257,0.0,0.0,0.0,
cat__tinggal_saudara_False,-0.40006847586199246,0.0,0.0,0.0,
cat__bidang_Other,-0.39004810711551924,0.0,0.0,0.0,
lama_bekerja,0.41215388195696434,0.032097526,0.015620119460388614,0.013622579523704104,0.005275837205318379
cat__jenis_kelamin_Perempuan,0.46291731644294676,0.0,0.0,0.0009231811075347868,0.004299633126830471
cat__jenis_kelamin_Laki-laki,-0.46291731644294076,0.0,0.0,0.0,0.004286063116463579
cat__tinggal_anak_False,-0.4291436531395696,0.0,0.002172113718632117,0.00240812043039009,0.01518823000570474
cat__jarak_> 15 km,0.33369323268677054,0.0,0.0,0.0,
cat__kota_asal_Tangerang Selatan,0.400068475861993,0.0,0.0,0.0,0.0034500752021042634
cat__kota_asal_Plm,-0.3900481071155206,0.0,0.0,0.0,0.0009982299665383444
cat__bidang_Ekonomi,0.22909500836874186,0.0,0.0,0.0,
cat__kota_asal_Salatiga,0.2410968806636058,0.0,0.0,0.0,0.00881028941284182
cat__kota_asal_KLATEN,0.22909500836874175,0.0,0.0,0.0,0.015138266985876225
cat__mental_stres_False,-0.18602321634681696,0.0,0.006096384968165375,0.00282494995042819,
cat__status_keaktifan_Aktif (PDDikti) namun masih melakukan Tugas Belajar,0.18827468592979113,0.0,0.0,0.002194862661656546,
cat__mental_stres_True,0.1860232163468165,0.0,0.0017527410967700335,0.0013371002752584123,
jumlah_anak,0.05251800583917021,0.021792434,0.005484546602519108,0.009363673582588914,0.00424325768946906
cat__kota_asal_Bengkulu,0.07818494320286261,0.0,0.0,0.0,0.014067394656211818
cat__mental_burnout_False,-0.027397840514337135,0.0,0.012328136545717044,0.011094431614324593,
cat__mental_burnout_True,0.027397840514337135,0.0,0.0066702544115836765,0.007061394209117735,
